step,loss,tokens,model
5690,4.0859,745799680,old_baseline_4e_top1
5700,3.9705,747110400,old_baseline_4e_top1
5710,4.087,748421120,old_baseline_4e_top1
5720,4.0851,749731840,old_baseline_4e_top1
5730,4.0169,751042560,old_baseline_4e_top1
5740,4.0954,752353280,old_baseline_4e_top1
5750,4.0485,753664000,old_baseline_4e_top1
5760,3.955,754974720,old_baseline_4e_top1
5770,3.9658,756285440,old_baseline_4e_top1
5780,4.0041,757596160,old_baseline_4e_top1
5790,3.9952,758906880,old_baseline_4e_top1
5800,3.9833,760217600,old_baseline_4e_top1
5810,4.1091,761528320,old_baseline_4e_top1
5820,4.0256,762839040,old_baseline_4e_top1
5830,4.1419,764149760,old_baseline_4e_top1
5840,4.0776,765460480,old_baseline_4e_top1
5850,4.0333,766771200,old_baseline_4e_top1
5860,3.9914,768081920,old_baseline_4e_top1
5870,4.0399,769392640,old_baseline_4e_top1
