layer,head,representation,component,singular_value,energy_ratio
1,0,weighted_value,4,1.1573262214660645,0.05428242471671112
1,0,weighted_value,5,1.1362327337265015,0.05232174816257121
1,0,weighted_value,6,1.1055516004562378,0.049534260975683836
1,0,weighted_value,7,1.0091454982757568,0.04127197265021474
1,0,weighted_value,8,0.9327605962753296,0.03526046501266344
1,1,key,1,1549.802490234375,0.33461342071999856
1,1,key,2,780.4302978515625,0.08485137598154366
1,1,key,3,539.3600463867188,0.040527348595959224
1,1,key,4,531.5506591796875,0.03936225486967268
1,1,key,5,437.7138977050781,0.026691397859136295
1,1,key,6,434.4093322753906,0.026289900348657948
1,1,key,7,414.9308166503906,0.023985127341354738
1,1,key,8,389.7999267578125,0.021167723467171627
1,1,value,1,35.43184280395508,0.08255467575986973
1,1,value,2,30.929676055908203,0.06290786380042751
1,1,value,3,23.54163360595703,0.03644411324066708
1,1,value,4,21.63352394104004,0.030775756145009162
1,1,value,5,20.270679473876953,0.02702033990803909
1,1,value,6,19.46451759338379,0.02491388665849835
1,1,value,7,17.99929428100586,0.021304196055701614
1,1,value,8,17.70176124572754,0.020605689567863496
1,1,weighted_value,1,1.6118826866149902,0.15333221541628897
1,1,weighted_value,2,1.4584085941314697,0.1255234823825502
1,1,weighted_value,3,1.0939515829086304,0.07062569777521475
1,1,weighted_value,4,1.0372474193572998,0.06349379355190321
1,1,weighted_value,5,0.9354789853096008,0.05164575389725323
1,1,weighted_value,6,0.8844344019889832,0.046163401697252714
1,1,weighted_value,7,0.8392345309257507,0.04156552204504388
1,1,weighted_value,8,0.8258814215660095,0.040253341975819645
1,2,key,1,1046.47900390625,0.16520406050591743
1,2,key,2,1038.576904296875,0.1627185255039413
1,2,key,3,744.8435668945312,0.08369313215978229
1,2,key,4,644.4942016601562,0.06266105576219855
1,2,key,5,439.0177307128906,0.029075272925760284
1,2,key,6,437.9485778808594,0.02893382962631592
1,2,key,7,416.33697509765625,0.026148672394399275
1,2,key,8,413.19256591796875,0.025755185211063094
1,2,value,1,43.55825424194336,0.10469150641662842
1,2,value,2,37.88566207885742,0.07919910622237938
1,2,value,3,35.27043914794922,0.06864236718875424
1,2,value,4,28.690778732299805,0.04542084299119232
1,2,value,5,26.451187133789062,0.03860653760585151
1,2,value,6,25.161447525024414,0.034933472854233094
1,2,value,7,24.452322006225586,0.03299215853819287
1,2,value,8,22.459911346435547,0.027834703108218995
1,2,weighted_value,1,1.7855759859085083,0.11928384954440646
1,2,weighted_value,2,1.649743676185608,0.10182582040825051
1,2,weighted_value,3,1.5849969387054443,0.09399003877810735
1,2,weighted_value,4,1.201971411705017,0.054052184425336616
1,2,weighted_value,5,1.120389699935913,0.046963795516216524
1,2,weighted_value,6,1.0827884674072266,0.043864402333859256
1,2,weighted_value,7,1.0586491823196411,0.04193040972025871
1,2,weighted_value,8,0.9969912767410278,0.03718841683001425
1,3,key,1,1066.605224609375,0.170419716998042
1,3,key,2,1046.47265625,0.16404696360647764
1,3,key,3,732.5341186523438,0.08038372747113665
1,3,key,4,641.9207763671875,0.06172701714700895
1,3,key,5,439.29327392578125,0.028908232168221963
1,3,key,6,433.8353576660156,0.028194364809833082
1,3,key,7,415.8430480957031,0.025904267575762994
